Station ID,Station,Lines
1,Astoria-Ditmars Blvd,N W
2,Astoria Blvd,N W
3,30 Av,N W
4,Broadway,N W
5,36 Av,N W
6,39 Av-Dutch Kills,N W
7,Lexington Av/59 St,N R W
8,5 Av/59 St,N R W
9,57 St-7 Av,N Q R W
10,49 St,N R W
11,Times Sq-42 St,N Q R W
12,34 St-Herald Sq,N Q R W
13,28 St,R W
14,23 St,R W
15,14 St-Union Sq,N Q R W
16,8 St-NYU,R W
17,Prince St,R W
18,Canal St,R W
19,Canal St,N Q
20,City Hall,R W
21,Cortlandt St,R W
22,Rector St,R W
23,Whitehall St-South Ferry,R W
24,Court St,R
25,Jay St-MetroTech,R
26,DeKalb Av,B Q R
27,Atlantic Av-Barclays Ctr,D N R
28,Union St,R
29,4 Av-9 St,R
30,Prospect Av,R
31,25 St,R
32,36 St,D N R
33,45 St,R
34,53 St,R
35,59 St,N R
36,Bay Ridge Av,R
37,77 St,R
38,86 St,R
39,Bay Ridge-95 St,R
40,Atlantic Av-Barclays Ctr,B Q
41,7 Av,B Q
42,Prospect Park,B Q S
43,Parkside Av,Q
44,Church Av,B Q
45,Beverley Rd,Q
46,Cortelyou Rd,Q
47,Newkirk Plaza,B Q
48,Avenue H,Q
49,Avenue J,Q
50,Avenue M,Q
51,Kings Hwy,B Q
52,Avenue U,Q
53,Neck Rd,Q
54,Sheepshead Bay,B Q
55,Brighton Beach,B Q
56,Ocean Pkwy,Q
57,W 8 St-NY Aquarium,F Q
58,Coney Island-Stillwell Av,D F N Q
59,9 Av,D
60,Fort Hamilton Pkwy,D
61,50 St,D
62,55 St,D
63,62 St,D
64,71 St,D
65,79 St,D
66,18 Av,D
67,20 Av,D
68,Bay Pkwy,D
69,25 Av,D
70,Bay 50 St,D
71,8 Av,N
72,Fort Hamilton Pkwy,N
73,New Utrecht Av,N
74,18 Av,N
75,20 Av,N
76,Bay Pkwy,N
77,Kings Hwy,N
78,Avenue U,N
79,86 St,N
80,121 St,J Z
81,111 St,J
82,104 St,J Z
83,Woodhaven Blvd,J Z
84,85 St-Forest Pkwy,J
85,75 St-Elderts Ln,J Z
86,Cypress Hills,J
87,Crescent St,J Z
88,Norwood Av,J Z
89,Cleveland St,J
90,Van Siclen Av,J Z
91,Alabama Av,J
92,Broadway Junction,J Z
93,Chauncey St,J Z
94,Halsey St,J
95,Gates Av,J Z
96,Kosciuszko St,J
97,Myrtle Av,J M Z
98,Flushing Av,J M
99,Lorimer St,J M
100,Hewes St,J M
101,Marcy Av,J M Z
102,Delancey St-Essex St,J M Z
103,Bowery,J Z
104,Canal St,J Z
105,Chambers St,J Z
106,Fulton St,J Z
107,Broad St,J Z
108,Middle Village-Metropolitan Av,M
109,Fresh Pond Rd,M
110,Forest Av,M
111,Seneca Av,M
112,Myrtle-Wyckoff Avs,M
113,Knickerbocker Av,M
114,Central Av,M
115,8 Av,L
116,6 Av,L
117,14 St-Union Sq,L
118,3 Av,L
119,1 Av,L
120,Bedford Av,L
121,Lorimer St,L
122,Graham Av,L
123,Grand St,L
124,Montrose Av,L
125,Morgan Av,L
126,Jefferson St,L
127,DeKalb Av,L
128,Myrtle-Wyckoff Avs,L
129,Halsey St,L
130,Wilson Av,L
131,Bushwick Av-Aberdeen St,L
132,Broadway Junction,L
133,Atlantic Av,L
134,Sutter Av,L
135,Livonia Av,L
136,New Lots Av,L
137,East 105 St,L
138,Canarsie-Rockaway Pkwy,L
139,Franklin Av,S
141,Park Pl,S
142,Botanic Garden,S
143,Inwood-207 St,A
144,Dyckman St,A
145,190 St,A
146,181 St,A
147,175 St,A
148,168 St,A C
149,163 St-Amsterdam Av,C
150,155 St,C
151,145 St,A C
151,145 St,B D
152,135 St,B C
153,125 St,A B C D
154,116 St,B C
155,Cathedral Pkwy (110 St),B C
156,103 St,B C
157,96 St,B C
158,86 St,B C
159,81 St-Museum of Natural History,B C
160,72 St,B C
161,59 St-Columbus Circle,A B C D
162,50 St,C E
163,42 St-Port Authority Bus Terminal,A C E
164,34 St-Penn Station,A C E
165,23 St,C E
166,14 St,A C E
167,W 4 St-Wash Sq,A C E
167,W 4 St-Wash Sq,B D F M
168,Spring St,C E
169,Canal St,A C E
170,Chambers St,A C
171,World Trade Center,E
172,Fulton St,A C
173,High St,A C
174,Jay St-MetroTech,A C F
175,Hoyt-Schermerhorn Sts,A C G
176,Lafayette Av,C
177,Clinton-Washington Avs,C
178,Franklin Av,C
179,Nostrand Av,A C
180,Kingston-Throop Avs,C
181,Utica Av,A C
182,Ralph Av,C
183,Rockaway Av,C
184,Broadway Junction,A C
185,Liberty Av,C
186,Van Siclen Av,C
187,Shepherd Av,C
188,Euclid Av,A C
189,Grant Av,A
190,80 St,A
191,88 St,A
192,Rockaway Blvd,A
193,104 St,A
194,111 St,A
195,Ozone Park-Lefferts Blvd,A
196,Aqueduct Racetrack,A
197,Aqueduct-N Conduit Av,A
198,Howard Beach-JFK Airport,A
199,Broad Channel,A S
200,Beach 90 St,A S
201,Beach 98 St,A S
202,Beach 105 St,A S
203,Rockaway Park-Beach 116 St,A S
204,Beach 67 St,A
205,Beach 60 St,A
206,Beach 44 St,A
207,Beach 36 St,A
208,Beach 25 St,A
209,Far Rockaway-Mott Av,A
